Destination_3Zip,freight_terms,3zip_des_total_revenue,3zip_des_ordvrs_cnt,3zip_des_cases_received,"3zip_des_cases_received (col,pp)",total_dc_sqft,totalQty_allDCs,Lane_Share%,Lane_Space,Default Warehouse,Costing Warehouse,3zip_Inbound Spend,3zip_Distribution Spend,3zip_parcel_shipment,3zip_parcel_weight,3zip_avg_weight/parcel,zon_us&can_combnd,servicedays_us&can_combnd,3zip_Parcel Spend,LTL_Shipment_Count,LTL_Weight,LTL_Cost,Mean Weight / LTL Shipment,Cost Per CWT,3zip_LTL_Spend,TL_Shipment_Count,TL_Weight,TL_Cost,avg_tl_rate,3zip_tl_spend,3zip_scenario cost,Cost rank dc,cheapest cost to serve,cheapest to serve from, Baseline Cost to Serve,Baseline Rate Zone,Relative Additional Cost,avg_delivery_days,avg_transit_days
N5Z,Prepaid,4170.571875800001,39,39,39,195000,1384458,0.000028169868641735612,5.493124385138445,Brampton,Richmond,67.10451626156907,186.885281614493631,39,506.92999999999995,13,1,1,333.84000000000293,0,0,0,0,145.53728217784766,0,0,0,0,,0,587.829797876065636,2,,,,,,0,1.8619793947198973
N6A,Prepaid,2560.5498613000004,32,32,32,195000,1384458,0.00002311373837270614,4.507178982677697,Brampton,Brampton,94.27406360743808,113.794042193261536,32,386.05999999999995,12,1,1,273.92000000000127,0,0,0,0,79.2488207079882,0,0,0,0,,0,481.988105800700911,1,481.988105800700911,Brampton,481.988105800700911,1,0,2.176595617739568,2.066209038409731
N6A,Prepaid,2560.5498613000004,32,32,32,195000,1384458,0.00002311373837270614,4.507178982677697,Brampton,Richmond,55.060115906928466,153.341769529840928,32,386.05999999999995,12,1,1,273.92000000000127,0,0,0,0,145.53728217784766,0,0,0,0,,0,482.321885436770639,2,,,,,,0,1.8619793947198973
N6B,Prepaid,4035.595312499999,45,45,45,195000,1384458,0.00003250369458661801,6.338220444390512,Brampton,Brampton,132.5729019479598,160.022871834274035,45,281.23900000000003,6,1,1,385.199999999998,0,0,0,0,79.2488207079882,0,0,0,0,,0,677.79577378223177,1,677.79577378223177,Brampton,677.79577378223177,1,0,2.176595617739568,2.066209038409731
N6B,Prepaid,4035.595312499999,45,45,45,195000,1384458,0.00003250369458661801,6.338220444390512,Brampton,Richmond,77.42828799411815,215.636863401338805,45,281.23900000000003,6,1,1,385.199999999998,0,0,0,0,145.53728217784766,0,0,0,0,,0,678.26515139545494,2,,,,,,0,1.8619793947198973
N6C,Prepaid,4267.259707,46,49,49,195000,1384458,0.00003539291188320628,6.901617817225224,Brampton,Brampton,144.35715989888956,174.247127108431727,46,502.82899999999995,11,1,1,393.7600000000068,0,0,0,0,79.2488207079882,0,0,0,0,,0,712.364287007328102,1,712.364287007328102,Brampton,712.364287007328102,1,0,2.176595617739568,2.066209038409731
N6C,Prepaid,4267.259707,46,49,49,195000,1384458,0.00003539291188320628,6.901617817225224,Brampton,Richmond,84.31080248248422,234.804584592568921,46,502.82899999999995,11,1,1,393.7600000000068,0,0,0,0,145.53728217784766,0,0,0,0,,0,712.875387075059968,2,,,,,,0,1.8619793947198973
N6E,Prepaid,59291.48884259999,119,2196,2196,195000,1384458,0.001586180295826959,309.305157686257,Brampton,Brampton,6469.557615060438,7809.116145512572908,77,702.5120000000001,9,1,1,659.1199999999957,21,18725,9380.259999999998,891.6666666666666,79.2488207079882,14839.34167757079,0,0,0,,0,29777.135438143795833,1,29777.135438143795833,Brampton,29777.135438143795833,1,0,2.176595617739568,2.066209038409731
N6E,Prepaid,59291.48884259999,119,2196,2196,195000,1384458,0.001586180295826959,309.305157686257,Brampton,Richmond,3778.500454112966,10523.078933985333684,77,702.5120000000001,9,1,1,659.1199999999957,21,18725,9380.259999999998,891.6666666666666,145.53728217784766,27251.856087801974,0,0,0,,0,42212.5554759002708,2,,,,,,0,1.8619793947198973
N6G,Prepaid,11345.303369500009,127,130,130,195000,1384458,0.0000938995621391187,18.310414617128146,Brampton,Brampton,382.9883834052172,462.28829641012499,127,1545.9740000000004,12,1,1,1087.1200000000051,0,0,0,0,79.2488207079882,0,0,0,0,,0,1932.396679815347402,1,1932.396679815347402,Brampton,1932.396679815347402,1,0,2.176595617739568,2.066209038409731
